series_id	year	period	value	footnote_codes
LAUCN010010000000006	2019	M13	26172	
LAUCN010030000000006	2019	M13	97328	
LAUCN010050000000006	2019	M13	8537	
LAUCN010070000000006	2019	M13	8685	
LAUCN010090000000006	2019	M13	25331	
LAUCN010110000000006	2019	M13	4818	
LAUCN010130000000006	2019	M13	9263	
LAUCN010150000000006	2019	M13	46209	
LAUCN010170000000006	2019	M13	15748	
LAUCN010190000000006	2019	M13	11604	
LAUCN010210000000006	2019	M13	19818	
LAUCN010230000000006	2019	M13	4670	
LAUCN010250000000006	2019	M13	7557	
LAUCN010270000000006	2019	M13	6101	
LAUCN010290000000006	2019	M13	5806	
LAUCN010310000000006	2019	M13	21402	
LAUCN010330000000006	2019	M13	23646	
LAUCN010350000000006	2019	M13	4533	
LAUCN010370000000006	2019	M13	4549	
LAUCN010390000000006	2019	M13	15653	
LAUCN010410000000006	2019	M13	6476	
LAUCN010430000000006	2019	M13	38646	
LAUCN010450000000006	2019	M13	20724	
LAUCN010470000000006	2019	M13	14711	
LAUCN010490000000006	2019	M13	31052	
LAUCN010510000000006	2019	M13	37565	
LAUCN010530000000006	2019	M13	14762	
LAUCN010550000000006	2019	M13	42723	
LAUCN010570000000006	2019	M13	6579	
LAUCN010590000000006	2019	M13	14696	
LAUCN010610000000006	2019	M13	11045	
LAUCN010630000000006	2019	M13	2883	
LAUCN010650000000006	2019	M13	6119	
LAUCN010670000000006	2019	M13	6944	
LAUCN010690000000006	2019	M13	46234	
LAUCN010710000000006	2019	M13	23484	
LAUCN010730000000006	2019	M13	318755	
LAUCN010750000000006	2019	M13	5849	
LAUCN010770000000006	2019	M13	42548	
LAUCN010790000000006	2019	M13	14306	
LAUCN010810000000006	2019	M13	76580	
LAUCN010830000000006	2019	M13	43854	
LAUCN010850000000006	2019	M13	3587	
LAUCN010870000000006	2019	M13	7850	
LAUCN010890000000006	2019	M13	185219	
LAUCN010910000000006	2019	M13	7694	
LAUCN010930000000006	2019	M13	12932	
LAUCN010950000000006	2019	M13	44085	
LAUCN010970000000006	2019	M13	189107	
LAUCN010990000000006	2019	M13	7329	
LAUCN011010000000006	2019	M13	105777	
LAUCN011030000000006	2019	M13	58271	
LAUCN011050000000006	2019	M13	3413	
LAUCN011070000000006	2019	M13	7923	
LAUCN011090000000006	2019	M13	15428	
LAUCN011110000000006	2019	M13	9639	
LAUCN011130000000006	2019	M13	23896	
LAUCN011150000000006	2019	M13	40532	
LAUCN011170000000006	2019	M13	115939	
LAUCN011190000000006	2019	M13	4854	
LAUCN011210000000006	2019	M13	35769	
LAUCN011230000000006	2019	M13	18652	
LAUCN011250000000006	2019	M13	104964	
LAUCN011270000000006	2019	M13	25347	
LAUCN011290000000006	2019	M13	6800	
LAUCN011310000000006	2019	M13	2739	
LAUCN011330000000006	2019	M13	10041	
LAUCN020130000000006	2019	M13	2428	
LAUCN020160000000006	2019	M13	3606	
