series_id	year	period	value	footnote_codes
LAUCN010010000000006	2023	M01	26658	
LAUCN010010000000006	2023	M02	26808	
LAUCN010010000000006	2023	M03	26776	
LAUCN010010000000006	2023	M04	26828	
LAUCN010010000000006	2023	M05	27063	
LAUCN010010000000006	2023	M06	27170	
LAUCN010010000000006	2023	M07	27135	
LAUCN010010000000006	2023	M08	26948	
LAUCN010010000000006	2023	M09	26860	
LAUCN010010000000006	2023	M10	27021	
LAUCN010010000000006	2023	M11	27135	
LAUCN010030000000006	2023	M01	101860	
LAUCN010030000000006	2023	M02	102717	
LAUCN010030000000006	2023	M03	103386	
LAUCN010030000000006	2023	M04	104101	
LAUCN010030000000006	2023	M05	105096	
LAUCN010030000000006	2023	M06	107113	
LAUCN010030000000006	2023	M07	106965	
LAUCN010030000000006	2023	M08	106001	
LAUCN010030000000006	2023	M09	104889	
LAUCN010030000000006	2023	M10	105217	
LAUCN010030000000006	2023	M11	105387	
LAUCN010050000000006	2023	M01	8157	
LAUCN010050000000006	2023	M02	8090	
LAUCN010050000000006	2023	M03	7901	
LAUCN010050000000006	2023	M04	7934	
LAUCN010050000000006	2023	M05	7972	
LAUCN010050000000006	2023	M06	8051	
LAUCN010050000000006	2023	M07	8071	
LAUCN010050000000006	2023	M08	8089	
LAUCN010050000000006	2023	M09	7944	
LAUCN010050000000006	2023	M10	8051	
LAUCN010050000000006	2023	M11	8046	
LAUCN010070000000006	2023	M01	8645	
LAUCN010070000000006	2023	M02	8654	
LAUCN010070000000006	2023	M03	8665	
LAUCN010070000000006	2023	M04	8675	
LAUCN010070000000006	2023	M05	8736	
LAUCN010070000000006	2023	M06	8823	
LAUCN010070000000006	2023	M07	8787	
LAUCN010070000000006	2023	M08	8729	
LAUCN010070000000006	2023	M09	8758	
LAUCN010070000000006	2023	M10	8851	
LAUCN010070000000006	2023	M11	8918	
LAUCN010090000000006	2023	M01	25479	
LAUCN010090000000006	2023	M02	25369	
LAUCN010090000000006	2023	M03	25420	
LAUCN010090000000006	2023	M04	25504	
LAUCN010090000000006	2023	M05	25666	
LAUCN010090000000006	2023	M06	25867	
LAUCN010090000000006	2023	M07	25922	
LAUCN010090000000006	2023	M08	25763	
LAUCN010090000000006	2023	M09	25859	
LAUCN010090000000006	2023	M10	26252	
LAUCN010090000000006	2023	M11	26384	
LAUCN010110000000006	2023	M01	4473	
LAUCN010110000000006	2023	M02	4270	
LAUCN010110000000006	2023	M03	4156	
LAUCN010110000000006	2023	M04	4172	
LAUCN010110000000006	2023	M05	4208	
LAUCN010110000000006	2023	M06	4342	
LAUCN010110000000006	2023	M07	4437	
LAUCN010110000000006	2023	M08	4481	
LAUCN010110000000006	2023	M09	4577	
LAUCN010110000000006	2023	M10	4741	
LAUCN010110000000006	2023	M11	4674	
LAUCN010130000000006	2023	M01	8700	
LAUCN010130000000006	2023	M02	8692	
LAUCN010130000000006	2023	M03	8962	
LAUCN010130000000006	2023	M04	8987	
LAUCN010130000000006	2023	M05	9051	
LAUCN010130000000006	2023	M06	9083	
LAUCN010130000000006	2023	M07	9057	
LAUCN010130000000006	2023	M08	9070	
LAUCN010130000000006	2023	M09	8920	
LAUCN010130000000006	2023	M10	8959	
LAUCN010130000000006	2023	M11	8939	
LAUCN010150000000006	2023	M01	46031	
LAUCN010150000000006	2023	M02	46224	
LAUCN010150000000006	2023	M03	46250	
LAUCN010150000000006	2023	M04	46318	
LAUCN010150000000006	2023	M05	46397	
LAUCN010150000000006	2023	M06	46416	
LAUCN010150000000006	2023	M07	46238	
LAUCN010150000000006	2023	M08	46413	
LAUCN010150000000006	2023	M09	46627	
LAUCN010150000000006	2023	M10	46855	
LAUCN010150000000006	2023	M11	46975	
LAUCN010170000000006	2023	M01	15842	
LAUCN010170000000006	2023	M02	15950	
LAUCN010170000000006	2023	M03	15872	
LAUCN010170000000006	2023	M04	15849	
LAUCN010170000000006	2023	M05	15886	
LAUCN010170000000006	2023	M06	16018	
LAUCN010170000000006	2023	M07	16061	
LAUCN010170000000006	2023	M08	16104	
LAUCN010170000000006	2023	M09	16057	
LAUCN010170000000006	2023	M10	16188	
LAUCN010170000000006	2023	M11	16192	
LAUCN010190000000006	2023	M01	11573	
LAUCN010190000000006	2023	M02	11544	
LAUCN010190000000006	2023	M03	11517	
LAUCN010190000000006	2023	M04	11637	
LAUCN010190000000006	2023	M05	11744	
LAUCN010190000000006	2023	M06	11803	
LAUCN010190000000006	2023	M07	11770	
LAUCN010190000000006	2023	M08	11741	
LAUCN010190000000006	2023	M09	11862	
LAUCN010190000000006	2023	M10	11922	
LAUCN010190000000006	2023	M11	11989	
LAUCN010210000000006	2023	M01	20032	
LAUCN010210000000006	2023	M02	19931	
LAUCN010210000000006	2023	M03	19950	
LAUCN010210000000006	2023	M04	20001	
LAUCN010210000000006	2023	M05	20096	
LAUCN010210000000006	2023	M06	20300	
LAUCN010210000000006	2023	M07	20355	
LAUCN010210000000006	2023	M08	20242	
LAUCN010210000000006	2023	M09	20328	
LAUCN010210000000006	2023	M10	20631	
LAUCN010210000000006	2023	M11	20751	
LAUCN010230000000006	2023	M01	4215	
LAUCN010230000000006	2023	M02	4143	
LAUCN010230000000006	2023	M03	4225	
LAUCN010230000000006	2023	M04	4147	
LAUCN010230000000006	2023	M05	4158	
LAUCN010230000000006	2023	M06	4112	
LAUCN010230000000006	2023	M07	4090	
LAUCN010230000000006	2023	M08	4087	
LAUCN010230000000006	2023	M09	4181	
LAUCN010230000000006	2023	M10	4238	
LAUCN010230000000006	2023	M11	4274	
LAUCN010250000000006	2023	M01	7664	
LAUCN010250000000006	2023	M02	7577	
LAUCN010250000000006	2023	M03	7622	
LAUCN010250000000006	2023	M04	7614	
LAUCN010250000000006	2023	M05	7669	
LAUCN010250000000006	2023	M06	7656	
LAUCN010250000000006	2023	M07	7557	
